,brand,nod,location,model,varient,fuel,year,transmission,km,price
140,Mercedes-Benz,2nd,"Borivali West, Mumbai, Maharashtra",S-Class,S 300 L,Petrol,2011,Automatic,"55,000 km","₹ 13,75,111"
141,Maruti Suzuki,1st,"Bypass Road, Thiruvananthapuram, Kerala",Alto K10,VXI,Petrol,2012,Manual,"68,945 km","₹ 2,10,000"
143,Mahindra,2nd,"Kharevan, Sarai Mir, Uttar Pradesh",Scorpio,2002-2013 VLX AT 4WD BS-IV,Diesel,2003,Automatic,"100,000 km","₹ 2,25,000"
144,Mahindra,1st,"Keshgarh Sahib, Anandpur Sahib, Punjab",KUV 100,Others,Diesel,2018,Manual,"121,000 km","₹ 4,15,000"
145,Chevrolet,4th,"Kankarkhera, Meerut, Uttar Pradesh",Spark,2007-2012 1.0 LT Option Pack,CNG & Hybrids,2008,Automatic,"70,580 km","₹ 80,500"
147,Hyundai,1st,"Sector 14, Hisar, Haryana",i20,1.2 Spotz,Diesel,2016,Manual,"61,000 km","₹ 5,40,000"
148,Maruti Suzuki,1st,"Dombivli, Thane, Maharashtra",Swift,VVT VXI,Petrol,2015,Manual,"57,000 km","₹ 4,70,000"
149,Maruti Suzuki,1st,"Pandara, Bhubaneshwar, Odisha",Swift Dzire,1.2 Vxi BSIV,Petrol,2015,Manual,"61,285 km","₹ 4,20,000"
152,Hyundai,1st,"Kalighat, Kolkata, West Bengal",Fluidic Verna,1.6 VTVT SX,Petrol,2016,Manual,"39,000 km","₹ 5,50,000"
153,Hyundai,1st,"Mayur Vihar, Delhi, Delhi",i20,1.4 Era,CNG & Hybrids,2013,Manual,"54,000 km","₹ 3,50,000"
154,Volkswagen,2nd,"Janakpuri, Ludhiana, Punjab",Vento,1.6 Trendline,Diesel,2012,Manual,"88,000 km","₹ 2,85,000"
155,Hyundai,1st,"Malad West, Mumbai, Maharashtra",Verna,Fluidic 1.6 CRDi SX,Diesel,2014,Manual,"37,000 km","₹ 5,75,000"
156,Volkswagen,1st,"Darshan Vihar, Delhi, Delhi",Polo,2009-2013 Petrol Highline 1.6L,Petrol,2016,Manual,"36,000 km","₹ 5,25,000"
157,Mahindra,1st,"Lohiya Nagar, Sitamarhi, Bihar",Supro,VX 8 Str,Diesel,2016,Manual,"51,000 km","₹ 4,51,000"
158,Maruti Suzuki,2nd,"Padmavathi Nagar, Podalakur, Andhra Pradesh",Swift,2004-2010 Vdi BSIII,Diesel,2009,Manual,"138,000 km","₹ 2,80,000"
159,Hyundai,3rd,"Padru Ka Bass, Siwana, Rajasthan",Santro,LP,Petrol,2002,Automatic,"75,000 km","₹ 32,000"
161,Honda,2nd,"Madurai Railway Station Area, Madurai, Tamil Nadu",Civic,VX CVT i-vtec,Petrol,2008,Manual,"75,000 km","₹ 3,60,000"
162,Hyundai,1st,"Sanatorium, Chennai, Tamil Nadu",Xcent,1.2 CRDi E,Diesel,2019,Manual,"61,000 km","₹ 4,90,000"
163,Chevrolet,3rd,"Waluj Kh, Waluj MIDC, Maharashtra",Cruze,2010-2011 LTZ,Diesel,2010,Manual,"54,000 km","₹ 3,60,000"
165,Tata,1st,"Sector 71, Mohali, Punjab",Safari,Dicor EX 4X2,Diesel,2012,Manual,"82,000 km","₹ 2,85,000"
166,Renault,2nd,"Yamuna Puram Colony, Bulandshahr, Uttar Pradesh",Duster,110PS Diesel RxL,Diesel,2014,Manual,"80,000 km","₹ 3,95,000"
168,Maruti Suzuki,4th,"Amar Nagar, Bhiwani, Haryana",Ritz,VDI (ABS) BS-IV,Diesel,2012,Manual,"100,000 km","₹ 2,40,000"
169,Ford,2nd,"Pimpri Chinchwad, Pune, Maharashtra",Figo,1.2P Titanium MT,Petrol,2011,Manual,"61,000 km","₹ 2,24,999"
170,Toyota,1st,"Govandi, Mumbai, Maharashtra",Innova,2.5 V 7 STR,Diesel,2009,Manual,"97,330 km","₹ 4,50,000"
172,Hyundai,3rd,"Sathe Chowk, Nanded, Maharashtra",i20,1.2 Asta,Diesel,2015,Automatic,"80,000 km","₹ 5,30,000"
173,Toyota,1st,"Avadi, Chennai, Tamil Nadu",Qualis,FS B4,Diesel,2004,Manual,"195,000 km","₹ 4,00,000"
174,Maruti Suzuki,4th,"Mauli Nagar, Washim, Maharashtra",Swift,2011-2014 ZDi,Diesel,2012,Manual,"148,000 km","₹ 3,50,000"
175,Toyota,1st,"Darshan Vihar, Delhi, Delhi",Innova Crysta,2.4 V,Diesel,2016,Manual,"30,000 km","₹ 14,75,000"
177,Maruti Suzuki,2nd,"Alamcode, Thiruvananthapuram, Kerala",Swift,2011-2014 Star VDI,Diesel,2014,Manual,"71,000 km","₹ 4,70,000"
178,Maruti Suzuki,1st,"Kharkhari, Haridwar, Uttaranchal",Ertiga,2012-2015 VDI,Diesel,2015,Manual,"160,000 km","₹ 4,50,000"
179,Hyundai,4th,"Vikaspuri, Delhi, Delhi",Santro Xing,GLS,CNG & Hybrids,2008,Manual,"72,000 km","₹ 95,000"
182,Toyota,1st,"Lajpat Nagar 4, Delhi, Delhi",Innova,2.5 V 7 STR,Diesel,2012,Manual,"114,250 km","₹ 5,50,000"
183,Renault,1st,"Kuloor, Mangaluru, Karnataka",KWID,Others,Petrol,2021,Manual,0 km,"₹ 4,28,000"
184,Toyota,2nd,"Avadi, Chennai, Tamil Nadu",Etios,1.4 GD,Diesel,2016,Manual,"226,755 km","₹ 6,25,000"
185,Honda,1st,"RS Puram, Coimbatore, Tamil Nadu",Jazz,1.5 S i DTEC,Diesel,2017,Manual,"70,000 km","₹ 6,50,000"
187,Toyota,2nd,"Avadi, Chennai, Tamil Nadu",Etios,1.4 VD,Diesel,2017,Manual,"155,307 km","₹ 7,20,000"
188,Mahindra,3rd,"Karimannoor, Thodupuzha, Kerala",Scorpio,2006-2009 M2DI,Diesel,2006,Manual,"130,000 km","₹ 2,15,000"
190,Maruti Suzuki,3rd,"8 Barani Rural, Bhadra, Rajasthan",Esteem,Lxi - BSII,LPG,2005,Automatic,"70,000 km","₹ 75,000"
191,Tata,1st,"Avadi, Chennai, Tamil Nadu",Indigo XL,Others,Diesel,2010,Manual,"200,000 km","₹ 1,20,000"
192,Maruti Suzuki,1st,"Nayabazar, Sikkim, India",Alto,Others,Petrol,2021,Automatic,"11,000 km","₹ 2,20,000"
193,Bajaj,2nd,"Vallakkadavu, Thiruvananthapuram, Kerala",RE60,Others,Diesel,2012,Manual,"113,231 km","₹ 80,000"
194,Audi,1st,"Dwarka, Delhi, Delhi",Q3,35 TDI Premium + Sunroof,Diesel,2015,Automatic,"100,000 km","₹ 15,50,000"
196,Toyota,1st,"Avadi, Chennai, Tamil Nadu",Innova,2.5 G (Diesel) 7 Seater,Diesel,2016,Manual,"230,000 km","₹ 9,90,000"
197,Hyundai,1st,"Khardaha, Kolkata, West Bengal",Santro,GS zipDrive - Euro II,Petrol,2001,Manual,"59,273 km","₹ 60,000"
198,Audi,1st,"Dhaula Kuan, Delhi, Delhi",A6,35 TDI,Diesel,2015,Automatic,"14,440 km","₹ 26,00,000"
201,Kia,1st,"Ashok Vihar, Delhi, Delhi",Seltos,GTX Plus DCT,Petrol,2019,Manual,"16,000 km","₹ 17,00,000"
202,Maruti Suzuki,2nd,"Sanathal, Ahmedabad, Gujarat",Ignis,1.3 Delta,Diesel,2018,Manual,"57,000 km","₹ 4,51,000"
203,Maruti Suzuki,3rd,"Kalyan East, Thane, Maharashtra",Wagon R,Others,Petrol,2013,Manual,"60,000 km","₹ 2,50,000"
204,Maruti Suzuki,4th,"Sadar Bazar, Betul, Madhya Pradesh",Swift Dzire Tour,LDI,Diesel,2012,Manual,"95,000 km","₹ 1,60,000"
206,Mahindra,2nd,"Sector 15B, Chandigarh, Chandigarh",Scorpio,2009-2014 2.6 CRDe SLE,Diesel,2008,Manual,"100,000 km","₹ 3,00,000"
207,Chevrolet,1st,"KK Nagar Bank Of Baroda Colony, Chennai, Tamil Nadu",Beat,2010-2013 LT,Diesel,2010,Manual,"80,000 km","₹ 1,80,000"
208,Maruti Suzuki,2nd,"Salem East Old, Salem, Tamil Nadu",Ertiga,ZDI,Diesel,2012,Manual,"150,000 km","₹ 6,50,000"
209,Maruti Suzuki,2nd,"Dimrupar, Hojai, Assam",Others,Others,Diesel,2014,Manual,"70,000 km","₹ 4,10,000"
210,Maruti Suzuki,4+,"Talwara, Sri Hargobindpur, Punjab",Swift,LXI,Petrol,2005,Manual,"110,725 km","₹ 1,05,000"
212,Toyota,4th,"Navagadh, Jetpur, Gujarat",Qualis,Others,Diesel,2001,Manual,4 km,"₹ 1,20,000"
213,Maruti Suzuki,1st,"Gangawar Colony, Bareilly, Uttar Pradesh",Alto,Std,Petrol,2012,Manual,"32,000 km","₹ 1,50,000"
214,Volkswagen,2nd,"Koonayil, Poothakkulam, Kerala",Polo,2009-2013 IPL II 1.2 Diesel Highline,Diesel,2011,Manual,"86,000 km","₹ 3,00,000"
215,Maruti Suzuki,1st,"Vaishali Nagar, Ajmer, Rajasthan",800,Std BSIII,Petrol,2005,Manual,"27,500 km","₹ 80,000"
