,brand,nod,location,model,varient,fuel,year,transmission,km,price
458,Ford,1st,"Darshan Vihar, Delhi, Delhi",Ecosport,1.5 Petrol Titanium Plus,Petrol,2018,Manual,"24,000 km","₹ 8,25,000"
459,Maruti Suzuki,1st,"Ansari Mohalla, Aland, Karnataka",800,Duo Std LPG,Petrol,2003,Manual,"10,000 km","₹ 65,000"
460,Honda,2nd,"ITO, Delhi, Delhi",Brio,1.2 S MT,Petrol,2012,Manual,"52,000 km","₹ 2,55,000"
461,Ford,2nd,"Model Town, Ambala, Haryana",Figo,2010-2012 Diesel Titanium,Diesel,2011,Manual,"76,598 km","₹ 1,45,000"
462,Honda,1st,"Nerul, Navi Mumbai, Maharashtra",Mobilio,V i-VTEC,Petrol,2015,Manual,"38,063 km","₹ 5,55,000"
463,Tata,2nd,"Karatangadu, Tiruppur, Tamil Nadu",Indica V2,V2 L,Diesel,2015,Manual,"180,000 km","₹ 1,75,000"
464,Maruti Suzuki,3rd,"Azad Nagar, Hisar, Haryana",Swift,LDI Optional,Diesel,2017,Manual,"75,000 km","₹ 3,90,000"
465,Toyota,2nd,"Perambur, Chennai, Tamil Nadu",Innova,2.5 GX (Diesel) 8 Seater,Diesel,2014,Manual,"248,000 km","₹ 7,20,000"
466,Ford,1st,"Basti Jodhewal, Ludhiana, Punjab",Ikon,Others,Diesel,2006,Manual,"32,000 km","₹ 65,000"
468,Maruti Suzuki,1st,"Ernad, Manjeri, Kerala",Alto 800,LXI,Petrol,2019,Manual,"35,000 km","₹ 3,85,000"
469,Tata,1st,"Chennai Central, Chennai, Tamil Nadu",Indica Vista,TDI LS,Diesel,2015,Manual,"78,012 km","₹ 1,85,000"
471,Hyundai,2nd,"Koregaon park, Pune, Maharashtra",i20,1.2 Spotz,Petrol,2011,Manual,"75,000 km","₹ 3,00,000"
472,Toyota,1st,"Lower Parel, Mumbai, Maharashtra",Innova,2.5 ZX 7 STR BS IV,Diesel,2014,Manual,"122,000 km","₹ 10,99,000"
473,Maruti Suzuki,1st,"Vivek Vihar Phase 2, Delhi, Delhi",Swift,LXI Option,Petrol,2017,Manual,"51,000 km","₹ 4,35,000"
474,Hyundai,1st,"Mira Road, Mumbai, Maharashtra",Verna,CRDi 1.6 AT SX Option,Diesel,2011,Automatic,"66,556 km","₹ 4,95,000"
476,Maruti Suzuki,1st,"Chembur, Mumbai, Maharashtra",Baleno,Zeta,Diesel,2017,Manual,"36,000 km","₹ 6,99,000"
477,Honda,1st,"Rajouri Garden, Delhi, Delhi",Amaze,VX i DTEC,Diesel,2013,Manual,"79,000 km","₹ 3,30,000"
478,Volkswagen,1st,"Rajouri Garden, Delhi, Delhi",Polo,1.2 MPI Comfortline,Petrol,2017,Manual,"42,000 km","₹ 4,95,000"
479,Ford,1st,"Rajouri Garden, Delhi, Delhi",Ecosport,1.5 Diesel Titanium,Diesel,2013,Manual,"57,000 km","₹ 4,30,000"
481,Fiat,1st,"Suman Nagar, Mumbai, Maharashtra",Linea,2007-2013 Emotion Pack (Diesel),Diesel,2009,Manual,"90,000 km","₹ 1,99,000"
482,Honda,2nd,"JP Nagar Phase 8 Royal Lake Front Residency Phase , Bengaluru, Karnataka",Accord,Accord 2.4 Automatic,Petrol,2006,Automatic,"82,000 km","₹ 2,35,000"
483,Toyota,2nd,"Sivagami Nagar, Pudukkottai, Tamil Nadu",Etios,1.4 VXD,Diesel,2012,Manual,"225,000 km","₹ 4,35,000"
484,Tata,2nd,"Perambur, Chennai, Tamil Nadu",Zest,Quadrajet 1.3,Diesel,2018,Manual,"98,000 km","₹ 2,68,000"
485,Maruti Suzuki,3rd,"Chhapraula, Ghaziabad, Uttar Pradesh",Wagon R 1.0,Wagon R 1.0 LXi CNG,CNG & Hybrids,2014,Manual,"54,570 km","₹ 2,55,555"
486,Toyota,1st,"Sector 15A, Chandigarh, Chandigarh",Fortuner,3.0 4x4 Manual,Diesel,2014,Manual,"115,000 km","₹ 16,85,000"
487,Hyundai,1st,"Doltala Madhyamgram, Kolkata, West Bengal",i10,Magna,Petrol,2010,Manual,"103,000 km","₹ 1,35,000"
488,Renault,1st,"Jayanagar, Bengaluru, Karnataka",Duster,2015-2016 85PS Diesel RxL Explore,Diesel,2015,Manual,"60,000 km","₹ 7,50,000"
490,Maruti Suzuki,4th,"Appachi Nagar, Tiruppur, Tamil Nadu",800,AC,Diesel,1998,Manual,"100,000 km","₹ 60,000"
491,Maruti Suzuki,1st,"Rajiv Gandhi Nagar Near Sowripalayam, Coimbatore, Tamil Nadu",Swift Dzire,VDI,Diesel,2018,Manual,"64,000 km","₹ 7,15,000"
492,Nissan,2nd,"Mogappair, Chennai, Tamil Nadu",Micra,2010-2012 Diesel XV Premium,Diesel,2011,Manual,"111,258 km","₹ 1,25,000"
493,Maruti Suzuki,2nd,"Indra Colony, Pathankot, Punjab",Wagon R,VXI,Petrol,2005,Manual,"115,000 km","₹ 80,000"
494,Honda,2nd,"Old Pallavaram Pallav Garden, Chennai, Tamil Nadu",City,ZX,Petrol,2008,Manual,"102,000 km","₹ 2,40,000"
496,Honda,1st,"Madhapur, Hyderabad, Telangana",WR-V,i-VTEC VX,Petrol,2018,Manual,"20,000 km","₹ 9,75,000"
497,Tata,1st,"Thekkekkara, Mavelikkara, Kerala",Nexon,Others,Petrol,2018,Manual,"6,129 km","₹ 7,25,000"
499,Mitsubishi,3rd,"Kuthuparamba, Koothuparamba, Kerala",Lancer,1.5 Gli,Petrol,2005,Manual,"115,000 km","₹ 1,39,999"
500,Honda,1st,"Vikaspuri, Delhi, Delhi",Amaze,1.2 SMT I VTEC,Petrol,2015,Manual,"65,300 km","₹ 4,10,000"
502,Maruti Suzuki,1st,"Pallimukku, Kollam, Kerala",Swift,AMT ZXI,Petrol,2018,Automatic,"32,000 km","₹ 7,00,000"
503,Tata,2nd,"Old Rajiv Nagar, Vijayawada, Andhra Pradesh",Nano,2012-2015 Lx BSIII,Petrol,2012,Manual,"57,560 km","₹ 85,000"
504,Hyundai,1st,"Sanvatsor, Kishangarh Ajmer District, Rajasthan",EON,Era Plus,Petrol,2018,Manual,"32,000 km","₹ 3,25,000"
505,Datsun,1st,"Chengalam, Kottayam, Kerala",RediGO,AMT 1.0 T Option,Petrol,2018,Automatic,"35,000 km","₹ 4,50,000"
506,Mercedes-Benz,1st,"Hebbal, Bengaluru, Karnataka",CLS-Class,Others,Diesel,2019,Automatic,"23,000 km","₹ 39,75,000"
507,Tata,1st,"Industrial Area Murthal, Sonipat, Haryana",Tigor,XM Diesel,Diesel,2020,Manual,"12,000 km","₹ 7,00,000"
508,Maruti Suzuki,1st,"Kalamassery, Kochi, Kerala",Swift,2018 AMT ZXI,Petrol,2018,Automatic,"52,850 km","₹ 6,85,000"
509,Tata,1st,"New Shimlapuri, Ludhiana, Punjab",Indica V2 Turbo,Others,Diesel,2008,Manual,"85,000 km","₹ 89,000"
510,Mahindra,1st,"Jamin Jangi, Mariahu, Uttar Pradesh",Bolero Power Plus,ZLX,Diesel,2018,Automatic,"39,000 km","₹ 8,50,000"
511,Maruti Suzuki,2nd,"Nehru Road, Mumbai, Maharashtra",Baleno,1999-2007 LXI,Petrol,2008,Manual,"140,000 km","₹ 90,000"
512,Maruti Suzuki,2nd,"Vijay Nagar, Bengaluru, Karnataka",Zen,VXI,Petrol,2004,Manual,"77,000 km","₹ 1,44,999"
513,Toyota,1st,"Ramana Nagar, Tiruvannamalai, Tamil Nadu",Corolla,H1 1.8J,Petrol,2007,Manual,"75,000 km","₹ 1,75,000"
514,Audi,1st,"Jangpura, Delhi, Delhi",A6,2.0 TDI Premium Plus,Diesel,2012,Automatic,"100,000 km","₹ 11,77,777"
515,Maruti Suzuki,2nd,"Kashimira, Mumbai, Maharashtra",Swift,VDI,Diesel,2008,Manual,"95,000 km","₹ 1,99,000"
516,Hyundai,2nd,"Athwa Lines, Surat, Gujarat",Elite i20,1.4 CRDI Asta (O),Diesel,2015,Manual,"44,000 km","₹ 5,40,000"
518,Maruti Suzuki,1st,"Kabir Park, Amritsar, Punjab",Vitara Brezza,VDi Option,Diesel,2017,Manual,"59,000 km","₹ 7,95,000"
519,Maruti Suzuki,1st,"Kashimira, Mumbai, Maharashtra",Zen Estilo,LXI BS IV,Petrol,2008,Manual,"47,000 km","₹ 1,22,000"
520,Maruti Suzuki,1st,"Chembur, Mumbai, Maharashtra",Swift,2018 ZXI Plus,Petrol,2018,Manual,"57,148 km","₹ 6,50,000"
523,Maruti Suzuki,2nd,"Murbad Road, Ulhasnagar, Maharashtra",Wagon R,LXI CNG,CNG & Hybrids,2017,Manual,"85,000 km","₹ 2,50,000"
525,Hyundai,1st,"Khambhati Bhagol, Petlad, Gujarat",Grand i10,2013-2016 CRDi Asta,Diesel,2016,Manual,"115,000 km","₹ 4,00,000"
526,Maruti Suzuki,2nd,"Bahlolpur, Pathankot, Punjab",Alto K10,LXI,Petrol,2010,Manual,"74,500 km","₹ 85,000"
527,Chevrolet,2nd,"Thermal Colony, Bathinda, Punjab",Cruze,2010-2011 LTZ,Diesel,2010,Manual,"95,000 km","₹ 2,65,000"
528,Maruti Suzuki,1st,"Meerut Road Industrial Area Sector 21, Ghaziabad, Uttar Pradesh",Swift Dzire,VXI,Petrol,2019,Manual,"42,000 km","₹ 5,90,000"
529,Maruti Suzuki,1st,"Darshan Vihar, Delhi, Delhi",Swift Dzire,LXI Option,CNG & Hybrids,2016,Manual,"60,000 km","₹ 4,25,000"
530,Maruti Suzuki,3rd,"Hajimasa Compound, Robertsonpet, Karnataka",Omni,5 Seater BSIV,Petrol,2008,Manual,"70,000 km","₹ 1,60,000"
531,Tata,1st,"Gopalpur, Gorakhpur Air Force Area Township, Uttar Pradesh",Others,Others,Petrol,2020,Manual,"10,000 km","₹ 1,10,000"
533,Maruti Suzuki,4+,"Jagatpura, Jaipur, Rajasthan",Esteem,Others,Petrol,2003,Manual,10 km,"₹ 40,000"
534,Toyota,1st,"Chembur, Mumbai, Maharashtra",Innova,2.5 V 8 STR,Diesel,2008,Manual,"86,000 km","₹ 4,75,000"
535,Maruti Suzuki,2nd,"Irong Chesaba, Thongkhong Laxmi Bazar, Manipur",A-Star,Vxi,Petrol,2012,Manual,"47,000 km","₹ 2,80,000"
536,Mahindra,1st,"Janakpuri, Delhi, Delhi",XUV500,W11 Option AT,Diesel,2020,Automatic,"9,000 km","₹ 19,50,000"
537,Mercedes-Benz,1st,"Lodhi Road, Delhi, Delhi",B Class,B180 CDI,Diesel,2015,Automatic,"37,000 km","₹ 12,75,000"
538,Maruti Suzuki,1st,"Sadat Nagar, Aurangabad, Maharashtra",Ritz,VDi,Diesel,2009,Manual,"65,908 km","₹ 2,40,000"
539,Hyundai,1st,"Kandivali West, Mumbai, Maharashtra",Verna,2006-2009 1.6 i ABS,Petrol,2007,Manual,"59,000 km","₹ 1,35,000"
540,Honda,1st,"Jaman Nagar, Jaipur, Rajasthan",WR-V,Exclusive Diesel,Diesel,2017,Manual,"77,000 km","₹ 7,50,000"
541,Toyota,1st,"New Gurgaon, Gurgaon, Haryana",Fortuner,2.8 2WD AT,Diesel,2017,Automatic,"98,000 km","₹ 24,80,000"
542,Maruti Suzuki,1st,"Gujrat Housing Board, Ahmedabad, Gujarat",Swift Dzire,VDI,Diesel,2011,Manual,"65,000 km","₹ 3,50,000"
543,Mahindra,1st,"Jamin Jangi, Mariahu, Uttar Pradesh",Bolero Power Plus,ZLX,Diesel,2018,Automatic,"39,000 km","₹ 8,50,000"
544,Maruti Suzuki,2nd,"Nehru Road, Mumbai, Maharashtra",Baleno,1999-2007 LXI,Petrol,2008,Manual,"140,000 km","₹ 90,000"
545,Maruti Suzuki,2nd,"Vijay Nagar, Bengaluru, Karnataka",Zen,VXI,Petrol,2004,Manual,"77,000 km","₹ 1,44,999"
546,Toyota,1st,"Ramana Nagar, Tiruvannamalai, Tamil Nadu",Corolla,H1 1.8J,Petrol,2007,Manual,"75,000 km","₹ 1,75,000"
547,Audi,1st,"Jangpura, Delhi, Delhi",A6,2.0 TDI Premium Plus,Diesel,2012,Automatic,"100,000 km","₹ 11,77,777"
548,Maruti Suzuki,2nd,"Kashimira, Mumbai, Maharashtra",Swift,VDI,Diesel,2008,Manual,"95,000 km","₹ 1,99,000"
549,Hyundai,2nd,"Athwa Lines, Surat, Gujarat",Elite i20,1.4 CRDI Asta (O),Diesel,2015,Manual,"44,000 km","₹ 5,40,000"
551,Maruti Suzuki,1st,"Kabir Park, Amritsar, Punjab",Vitara Brezza,VDi Option,Diesel,2017,Manual,"59,000 km","₹ 7,95,000"
552,Maruti Suzuki,1st,"Kashimira, Mumbai, Maharashtra",Zen Estilo,LXI BS IV,Petrol,2008,Manual,"47,000 km","₹ 1,22,000"
553,Hyundai,2nd,"Erattakulam, Alathur, Kerala",EON,Sportz,Petrol,2017,Manual,"57,000 km","₹ 2,60,000"
554,Ford,1st,"Vashi, Navi Mumbai, Maharashtra",Figo,1.5D Titanium MT,Diesel,2016,Manual,"31,566 km","₹ 5,75,000"
555,Maruti Suzuki,2nd,"Amboot, Cheruthazham, Kerala",Swift,VXI,Petrol,2017,Manual,"41,000 km","₹ 6,00,000"
556,Chevrolet,1st,"Wazirabad, Delhi, Delhi",Cruze,LTZ AT,Diesel,2013,Automatic,"62,000 km","₹ 4,75,000"
557,Hyundai,2nd,"Saurabh Vihar, Delhi, Delhi",Accent,Others,CNG & Hybrids,2011,Manual,"65,000 km","₹ 1,35,000"
558,Toyota,3rd,"Anand Nagar, Mangaluru, Karnataka",Qualis,FS F3,Diesel,2004,Manual,"265,000 km","₹ 3,25,000"
559,Hyundai,2nd,"Mayur Vihar, Sonipat, Haryana",Santro,LP zipPlus,CNG & Hybrids,2011,Manual,"75,000 km","₹ 1,55,000"
560,Toyota,2nd,"Pampady, Kottayam, Kerala",Etios,2010-2012 G,Petrol,2011,Manual,"112,000 km","₹ 2,90,000"
561,Chevrolet,3rd,"Jaripatka, Nagpur, Maharashtra",Cruze,2010-2011 LTZ AT,Diesel,2011,Automatic,"85,000 km","₹ 2,91,000"
563,Maruti Suzuki,1st,"Jodiya, Yamunanagar, Haryana",Swift,2004-2010 VDI BSIV W-ABS,Diesel,2019,Manual,"7,704 km","₹ 8,10,000"
564,Maruti Suzuki,2nd,"Puthiyakavu, Karunagappally, Kerala",Wagon R,VXI,Petrol,2013,Manual,"39,000 km","₹ 3,55,000"
565,Tata,1st,"Railway Station Square, Aluva, Kerala",Tiago,1.2 Revotron XM,Petrol,2018,Manual,"24,000 km","₹ 4,48,000"
566,Maruti Suzuki,2nd,"Nava Yard, Vadodara, Gujarat",Alto K10,K10 VXi (O),CNG & Hybrids,2015,Manual,"75,000 km","₹ 2,50,000"
567,Maruti Suzuki,3rd,"Ajinkya Chowk, Kolhapur, Maharashtra",Omni,MPI STD BSIII 8-STR W/ IMMOBILISER,LPG,2013,Manual,"73,000 km","₹ 2,10,000"
568,Maruti Suzuki,1st,"Kashimira, Mumbai, Maharashtra",SX4,Vxi BSIV,Petrol,2010,Manual,"75,000 km","₹ 2,15,000"
569,Chevrolet,2nd,"Bomikhal, Bhubaneshwar, Odisha",Beat,LT Opt Petrol,Petrol,2017,Manual,"36,000 km","₹ 1,89,000"
570,Mahindra,2nd,"DV Nagar, Salaya, Gujarat",Scorpio Getaway,Others,Diesel,2013,Manual,"70,000 km","₹ 4,75,000"
571,Maruti Suzuki,2nd,"Melapalayam, Tirunelveli, Tamil Nadu",Omni,Others,Petrol,2013,Manual,"45,000 km","₹ 2,50,000"
572,Maruti Suzuki,1st,"Surya Rao Peta Near Rama Rao Peta, Kakinada, Andhra Pradesh",Swift Dzire,LDI,Diesel,2009,Manual,"90,000 km","₹ 2,30,000"
573,Maruti Suzuki,1st,"Dwarka, Delhi, Delhi",Swift,VDI BS IV,Diesel,2017,Manual,"48,000 km","₹ 5,15,000"
575,Toyota,1st,"Rasulgarh, Bhubaneshwar, Odisha",Innova,2.5 G (Diesel) 8 Seater BS-IV,Diesel,2015,Manual,"96,052 km","₹ 8,70,000"
577,Hyundai,1st,"Kundamankadavu, Thiruvananthapuram, Kerala",EON,D-Lite +,Petrol,2013,Manual,"19,454 km","₹ 2,50,000"
578,Maruti Suzuki,1st,"Awas Vikas Colony, Saharanpur, Uttar Pradesh",Swift,AMT ZDI,Diesel,2019,Automatic,"15,500 km","₹ 7,30,000"
579,Hyundai,4+,"Savina, Udaipur, Rajasthan",Santa Fe,Others,LPG,2000,Manual,"100,000 km","₹ 70,000"
581,Volvo,1st,"Vasant Kunj, Delhi, Delhi",S90,D4 Inscription,Diesel,2019,Automatic,"15,000 km","₹ 47,75,000"
582,Maruti Suzuki,1st,"Electronic City, Bengaluru, Karnataka",Wagon R,VXI,Petrol,2007,Manual,"48,000 km","₹ 2,10,000"
583,Hyundai,1st,"Kankurgachhi, Kolkata, West Bengal",EON,Era +,Petrol,2012,Manual,"68,258 km","₹ 1,75,000"
584,Porsche,2nd,"Banjara Hills, Hyderabad, Telangana",Cayenne,2003-2014 S,Petrol,2004,Automatic,"90,121 km","₹ 13,75,000"
585,BMW,1st,"Ashok Vihar, Delhi, Delhi",X3,xDrive 20d Luxury Line,Diesel,2018,Automatic,"19,500 km","₹ 48,50,000"
586,BMW,2nd,"Tilak Nagar, Delhi, Delhi",7 Series,730Ld DPE Signature,Diesel,2017,Automatic,"66,000 km","₹ 62,00,000"
587,Audi,1st,"East Coast Road, Chennai, Tamil Nadu",A4,2008-2014 New 2.0 TDI Multitronic,Diesel,2012,Automatic,"58,000 km","₹ 11,90,000"
588,Nissan,1st,"Pusa Road Area, Delhi, Delhi",Terrano,2013-2017 XV 110 PS,Diesel,2015,Manual,"70,000 km","₹ 4,75,000"
589,Mahindra,2nd,"Ram Nagar, Madurai, Tamil Nadu",Bolero,SLX,Diesel,2011,Manual,"110,000 km","₹ 5,25,000"
590,Mercedes-Benz,1st,"Royapettah Rasool Omar Bahadur Colony, Chennai, Tamil Nadu",E-Class,E 220 d,Diesel,2019,Automatic,"27,000 km","₹ 56,90,000"
591,Maruti Suzuki,1st,"Nagole, Hyderabad, Telangana",Wagon R 1.0,Wagon R 1.0 LXi CNG,Petrol,2012,Manual,"84,000 km","₹ 3,40,000"
592,Maruti Suzuki,1st,"Nagole, Hyderabad, Telangana",Wagon R 1.0,1.0 VXi,Petrol,2012,Manual,"65,000 km","₹ 3,40,000"
593,Hyundai,1st,"Sector 8C, Chandigarh, Chandigarh",EON,Era Plus,Petrol,2012,Manual,"42,000 km","₹ 2,40,000"
594,Maruti Suzuki,1st,"Sector 8C, Chandigarh, Chandigarh",Gypsy,King Soft Top BSII,Petrol,2007,Manual,"40,000 km","₹ 3,70,000"
595,Maruti Suzuki,1st,"Ganeshnagar, Karimnagar, Telangana",Wagon R 1.0,1.0 LXi,Petrol,2010,Manual,"65,000 km","₹ 2,55,000"
596,Maruti Suzuki,1st,"Ganeshnagar, Karimnagar, Telangana",Swift Dzire,VDI,Diesel,2009,Manual,"155,000 km","₹ 3,35,000"
597,Maruti Suzuki,1st,"Ganeshnagar, Karimnagar, Telangana",Alto 800,VXI,Petrol,2013,Manual,"45,000 km","₹ 2,65,000"
598,Maruti Suzuki,1st,"Ganeshnagar, Karimnagar, Telangana",Alto,2005-2010 LXi BSIII,Petrol,2008,Manual,"76,000 km","₹ 1,65,000"
599,Chevrolet,1st,"Ganeshnagar, Karimnagar, Telangana",Sail,1.2 LS ABS,Diesel,2014,Manual,"88,000 km","₹ 3,40,000"
601,Volvo,2nd,"Anandpuri, Patna, Bihar",XC60,D5 AWD Automatic,Diesel,2011,Automatic,"53,535 km","₹ 13,50,000"
602,Maruti Suzuki,1st,"Thane West, Thane, Maharashtra",Ertiga,VXI CNG,CNG & Hybrids,2018,Manual,"54,000 km","₹ 8,85,000"
607,Hyundai,1st,"Krishna Nagar, Delhi, Delhi",Elite i20,Asta 1.2 (O),Petrol,2017,Manual,"63,000 km","₹ 6,45,000"
608,Maruti Suzuki,1st,"Thane West, Thane, Maharashtra",Ertiga,SHVS ZDI Plus,Diesel,2019,Manual,"47,000 km","₹ 12,25,000"
609,Mini,2nd,"Dwarka, Delhi, Delhi",Cooper Convertible,S,Petrol,2014,Automatic,"33,000 km","₹ 24,25,000"
610,Honda,1st,"Dwarka, Delhi, Delhi",City,ZX,Petrol,2017,Automatic,"35,000 km","₹ 10,89,900"
611,Hyundai,2nd,"Preet Vihar, Delhi, Delhi",Fluidic Verna,1.6 VTVT S,CNG & Hybrids,2011,Manual,"40,000 km","₹ 3,70,000"
612,Honda,3rd,"Yelhanka - Doddaballapur Road, Bengaluru, Karnataka",CR-V,2.4 Manual,Petrol,2008,Manual,"128,793 km","₹ 6,35,000"
613,Maruti Suzuki,1st,"Chromepet New Colony, Chennai, Tamil Nadu",Baleno,RS,Petrol,2017,Manual,"47,000 km","₹ 6,95,000"
614,Hyundai,1st,"Porur, Chennai, Tamil Nadu",EON,Magna,Petrol,2013,Manual,"44,000 km","₹ 3,25,000"
615,Datsun,1st,"Porur, Chennai, Tamil Nadu",RediGO,S,Petrol,2016,Manual,"47,000 km","₹ 2,95,000"
616,Hyundai,1st,"Chromepet New Colony, Chennai, Tamil Nadu",EON,Magna,Petrol,2013,Manual,"44,000 km","₹ 3,25,000"
617,Honda,1st,"Sholinganallur, Chennai, Tamil Nadu",Jazz,1.2 S i VTEC,Petrol,2017,Manual,"26,000 km","₹ 6,15,000"
618,Hyundai,1st,"Sholinganallur, Chennai, Tamil Nadu",Xcent,SX 1.2,Petrol,2016,Manual,"10,000 km","₹ 5,54,998"
619,Datsun,1st,"Yelhanka - Doddaballapur Road, Bengaluru, Karnataka",GO,T,Petrol,2016,Manual,"44,682 km","₹ 3,75,000"
620,Skoda,1st,"Makarpura GIDC, Vadodara, Gujarat",Rapid,2013-2016 1.5 TDI Ambition With Alloy Wheel,Diesel,2014,Manual,"49,000 km","₹ 5,75,000"
621,Hyundai,1st,"Virar West, Mumbai, Maharashtra",i20,1.2 Asta,Petrol,2010,Manual,"54,000 km","₹ 2,95,000"
622,Tata,1st,"Gunadala, Vijayawada, Andhra Pradesh",Hexa,XT,Diesel,2017,Manual,"106,000 km","₹ 13,00,000"
623,Mercedes-Benz,3rd,"Khare Town, Nagpur, Maharashtra",Others,Others,Petrol,2008,Automatic,"82,000 km","₹ 5,00,000"
624,Hyundai,2nd,"Goripalayam, Madurai, Tamil Nadu",Santro Xing,XL,Petrol,2006,Manual,"47,398 km","₹ 1,60,000"
625,Maruti Suzuki,3rd,"Goripalayam, Madurai, Tamil Nadu",Wagon R,VXI BS IV,LPG,2014,Manual,"91,382 km","₹ 3,20,000"
626,Tata,1st,"Industrial Area, Chandigarh, Chandigarh",Safari Storme,EX,Diesel,2012,Manual,"93,000 km","₹ 5,45,000"
628,Hyundai,1st,"Sector 28B, Chandigarh, Chandigarh",Creta,1.6 CRDi SX,Diesel,2015,Manual,"89,785 km","₹ 8,45,000"
629,Maruti Suzuki,2nd,"Varacha, Surat, Gujarat",Swift,ZXI,Petrol,2010,Manual,"48,147 km","₹ 2,90,000"
630,Tata,1st,"Mulund West, Mumbai, Maharashtra",Zest,Revotron 1.2T XM,Petrol,2015,Manual,"45,127 km","₹ 3,49,000"
631,Audi,3rd,"HBR Layout, Bengaluru, Karnataka",Q7,3.0 TDI quattro,Diesel,2011,Automatic,"139,000 km","₹ 19,00,000"
632,Maruti Suzuki,3rd,"Ellithara, Cheruthazham, Kerala",Alto,LXi,Petrol,2010,Manual,"89,411 km","₹ 1,55,000"
633,Skoda,1st,"Kalyan, Thane, Maharashtra",Superb,2008-2013 Elegance 1.8 TSI AT,Petrol,2011,Automatic,"65,000 km","₹ 4,25,000"
634,Tata,1st,"Kalyan, Thane, Maharashtra",Safari,Dicor VX 4X2 BS IV,Diesel,2011,Manual,"65,000 km","₹ 3,45,000"
635,Hyundai,1st,"Goripalayam, Madurai, Tamil Nadu",EON,Era +,Petrol,2013,Manual,"126,857 km","₹ 2,60,000"
641,Hyundai,1st,"Ayathil, Kollam, Kerala",Verna,2011-2014 1.4 EX,Diesel,2014,Manual,"66,459 km","₹ 5,35,000"
642,Ford,2nd,"Zaver Nagar, Vadodara, Gujarat",Figo,Diesel,Diesel,2010,Manual,"93,000 km","₹ 1,49,000"
643,Tata,1st,"Industrial Area, Chandigarh, Chandigarh",Safari Storme,EX,Diesel,2012,Manual,"93,000 km","₹ 5,45,000"
645,Hyundai,1st,"Sector 28B, Chandigarh, Chandigarh",Creta,1.6 CRDi SX,Diesel,2015,Manual,"89,785 km","₹ 8,45,000"
646,Maruti Suzuki,2nd,"Varacha, Surat, Gujarat",Swift,ZXI,Petrol,2010,Manual,"48,147 km","₹ 2,90,000"
647,Tata,1st,"Mulund West, Mumbai, Maharashtra",Zest,Revotron 1.2T XM,Petrol,2015,Manual,"45,127 km","₹ 3,49,000"
648,Audi,3rd,"HBR Layout, Bengaluru, Karnataka",Q7,3.0 TDI quattro,Diesel,2011,Automatic,"139,000 km","₹ 19,00,000"
649,Maruti Suzuki,3rd,"Ellithara, Cheruthazham, Kerala",Alto,LXi,Petrol,2010,Manual,"89,411 km","₹ 1,55,000"
650,Skoda,1st,"Kalyan, Thane, Maharashtra",Superb,2008-2013 Elegance 1.8 TSI AT,Petrol,2011,Automatic,"65,000 km","₹ 4,25,000"
651,Tata,1st,"Kalyan, Thane, Maharashtra",Safari,Dicor VX 4X2 BS IV,Diesel,2011,Manual,"65,000 km","₹ 3,45,000"
652,Hyundai,1st,"Goripalayam, Madurai, Tamil Nadu",EON,Era +,Petrol,2013,Manual,"126,857 km","₹ 2,60,000"
657,Hyundai,1st,"Krishna Nagar, Delhi, Delhi",Elite i20,Asta 1.2 (O),Petrol,2017,Manual,"63,000 km","₹ 6,45,000"
658,Maruti Suzuki,1st,"Thane West, Thane, Maharashtra",Ertiga,SHVS ZDI Plus,Diesel,2019,Manual,"47,000 km","₹ 12,25,000"
659,Mini,2nd,"Dwarka, Delhi, Delhi",Cooper Convertible,S,Petrol,2014,Automatic,"33,000 km","₹ 24,25,000"
660,Hyundai,1st,"Ushma Nagar, Mumbai, Maharashtra",Verna,CRDi 1.6 AT SX Option,Diesel,2017,Manual,"60,000 km","₹ 6,99,000"
661,Maruti Suzuki,1st,"EM Bypass - Ruby, Kolkata, West Bengal",Alto,LXi BS-IV,Petrol,2012,Manual,"36,171 km","₹ 1,69,000"
662,Tata,1st,"Andheri East, Mumbai, Maharashtra",Zest,Revotron 1.2T XMS,Petrol,2016,Manual,"59,000 km","₹ 3,35,000"
664,Hyundai,1st,"RK Puram, Delhi, Delhi",i10,1.2 Kappa Magna,Petrol,2012,Manual,"48,215 km","₹ 2,55,000"
665,Maruti Suzuki,2nd,"Kalyan, Thane, Maharashtra",Ertiga,2012-2015 VDI Limited Edition,Diesel,2015,Manual,"67,000 km","₹ 6,50,000"
666,Volkswagen,1st,"Satellite Prahlad Nagar, Ahmedabad, Gujarat",Vento,2010-2013 Petrol Highline,Petrol,2011,Manual,"55,000 km","₹ 3,75,000"
667,Mercedes-Benz,2nd,"South Bopal, Ahmedabad, Gujarat",A Class,A200 CDI Sport,Diesel,2017,Automatic,"30,000 km","₹ 15,50,000"
668,Honda,2nd,"Kasarwadi, Pune, Maharashtra",City,i-DTEC SV,Diesel,2014,Manual,"65,000 km","₹ 5,75,000"
670,Toyota,2nd,"Parasakthi Colony, Sivakasi, Tamil Nadu",Innova,2.5 G (Diesel) 7 Seater,Diesel,2011,Manual,"180,000 km","₹ 7,10,000"
671,Toyota,1st,"Shalimar Bagh, Delhi, Delhi",Innova,2.0 VX 7 STR BS-IV,Diesel,2010,Manual,"122,000 km","₹ 3,85,000"
