,brand,nod,location,model,varient,fuel,year,transmission,km,price
1556,Maruti,1st Owner,Hyderabad,Swift,VXI BSIV,Petrol,2015,Manual,"66,487 Kms","4,45,500"
1557,Renault,1st Owner,Hyderabad,Duster,85PS Diesel RxL,Diesel,2015,Manual,"77,769 Kms","5,53,500"
1558,Maruti,1st Owner,Hyderabad,Wagon R,VXI,Petrol,2018,Manual,"14,890 Kms","4,53,000"
1559,Hyundai,1st Owner,Hyderabad,i20,1.4 Magna Executive,Diesel,2017,Manual,"40,899 Kms","6,08,500"
1561,Maruti,1st Owner,Hyderabad,Swift,AMT VXI,Petrol,2018,Automatic,"45,536 Kms","6,45,000"
1563,Maruti,1st Owner,Hyderabad,Swift Dzire,VXI 1.2 BS IV,Petrol,2017,Manual,"53,411 Kms","6,37,500"
1578,Honda,2nd Owner,Hyderabad,Jazz,V,Petrol,2015,Manual,"38,339 Kms","5,65,500"
1579,Maruti,1st Owner,Hyderabad,Celerio,ZXI Optional AMT BSIV,Petrol,2018,Automatic,"14,610 Kms","5,40,000"
1580,Hyundai,1st Owner,Hyderabad,Santro,Sportz BSIV,Petrol,2018,Manual,"23,849 Kms","4,67,000"
1581,Honda,1st Owner,Hyderabad,Amaze,VX i-DTEC,Diesel,2014,Manual,"104,292 Kms","4,70,500"
1582,Maruti,1st Owner,Hyderabad,Ciaz,Zeta,Petrol,2017,Manual,"15,018 Kms","7,03,000"
1583,Hyundai,1st Owner,Hyderabad,Grand i10,1.2 Kappa Asta,Petrol,2017,Manual,"25,760 Kms","5,88,000"
1584,Hyundai,1st Owner,Hyderabad,Verna,1.6 VTVT SX,Petrol,2016,Manual,"74,830 Kms","6,37,000"
1585,Maruti,1st Owner,Hyderabad,Ignis,Alpha,Petrol,2017,Manual,"19,957 Kms","5,73,500"
1586,Maruti,1st Owner,Hyderabad,Swift Dzire,VXI 1.2 BS IV,Petrol,2017,Manual,"38,463 Kms","6,33,500"
1587,Maruti,1st Owner,Hyderabad,Swift,VXI BSIV,Petrol,2019,Manual,"22,988 Kms","6,16,000"
1588,Maruti,1st Owner,Hyderabad,Swift,VXI BSIV,Petrol,2015,Manual,"66,487 Kms","4,45,500"
1589,Renault,1st Owner,Hyderabad,Duster,85PS Diesel RxL,Diesel,2015,Manual,"77,769 Kms","5,53,500"
1590,Maruti,1st Owner,Hyderabad,Wagon R,VXI,Petrol,2018,Manual,"14,890 Kms","4,53,000"
1591,Hyundai,1st Owner,Hyderabad,i20,1.4 Magna Executive,Diesel,2017,Manual,"40,899 Kms","6,08,500"
1593,Maruti,1st Owner,Hyderabad,Swift,AMT VXI,Petrol,2018,Automatic,"45,536 Kms","6,45,000"
1595,Maruti,1st Owner,Hyderabad,Swift Dzire,VXI 1.2 BS IV,Petrol,2017,Manual,"53,411 Kms","6,37,500"
1630,Honda,2nd Owner,Hyderabad,Jazz,V,Petrol,2015,Manual,"38,339 Kms","5,65,500"
1631,Maruti,1st Owner,Hyderabad,Celerio,ZXI Optional AMT BSIV,Petrol,2018,Automatic,"14,610 Kms","5,40,000"
1632,Hyundai,1st Owner,Hyderabad,Santro,Sportz BSIV,Petrol,2018,Manual,"23,849 Kms","4,67,000"
1633,Honda,1st Owner,Hyderabad,Amaze,VX i-DTEC,Diesel,2014,Manual,"104,292 Kms","4,70,500"
1634,Maruti,1st Owner,Hyderabad,Ciaz,Zeta,Petrol,2017,Manual,"15,018 Kms","7,03,000"
1635,Hyundai,1st Owner,Hyderabad,Grand i10,1.2 Kappa Asta,Petrol,2017,Manual,"25,760 Kms","5,88,000"
1636,Hyundai,1st Owner,Hyderabad,Verna,1.6 VTVT SX,Petrol,2016,Manual,"74,830 Kms","6,37,000"
1637,Maruti,1st Owner,Hyderabad,Ignis,Alpha,Petrol,2017,Manual,"19,957 Kms","5,73,500"
1638,Maruti,1st Owner,Hyderabad,Swift Dzire,VXI 1.2 BS IV,Petrol,2017,Manual,"38,463 Kms","6,33,500"
1639,Maruti,1st Owner,Hyderabad,Swift,VXI BSIV,Petrol,2019,Manual,"22,988 Kms","6,16,000"
1640,Maruti,1st Owner,Hyderabad,Swift,VXI BSIV,Petrol,2015,Manual,"66,487 Kms","4,45,500"
